00210;00***;*****
00211;00***;*****
00212;00***;*****
00213;00***;*****
00215;00***;*****
00501;00***;*****
00544;00***;*****
01001;01***;*****
01002;01***;*****
01003;01***;*****
01004;01***;*****
01005;01***;*****
01007;01***;*****
01008;01***;*****
01009;01***;*****
01011;01***;*****
01012;01***;*****
01014;01***;*****
01020;01***;*****
01022;01***;*****
01027;01***;*****
01028;01***;*****
01029;01***;*****
01030;01***;*****
01033;01***;*****
01034;01***;*****
01035;01***;*****
01036;01***;*****
01037;01***;*****
01038;01***;*****
01039;01***;*****
01040;01***;*****
01041;01***;*****
01053;01***;*****
01056;01***;*****
01059;01***;*****
01060;01***;*****
01061;01***;*****
01062;01***;*****
01068;01***;*****
01069;01***;*****
01070;01***;*****
01072;01***;*****
01073;01***;*****
01074;01***;*****
01075;01***;*****
01077;01***;*****
01079;01***;*****
01081;01***;*****
01082;01***;*****
01083;01***;*****
01085;01***;*****
01086;01***;*****
01089;01***;*****
01090;01***;*****
01092;01***;*****
01095;01***;*****
01096;01***;*****
01097;01***;*****
01098;01***;*****
01102;01***;*****
01103;01***;*****
01104;01***;*****
01105;01***;*****
01106;01***;*****
01111;01***;*****
01114;01***;*****
01115;01***;*****
01116;01***;*****
01118;01***;*****
01119;01***;*****
01128;01***;*****
01129;01***;*****
01133;01***;*****
01138;01***;*****
01144;01***;*****
01152;01***;*****
01201;01***;*****
01202;01***;*****
01223;01***;*****
01224;01***;*****
01225;01***;*****
01227;01***;*****
01229;01***;*****
01230;01***;*****
01231;01***;*****
01235;01***;*****
01236;01***;*****
01240;01***;*****
01243;01***;*****
01245;01***;*****
01247;01***;*****
01252;01***;*****
01254;01***;*****
01256;01***;*****
01257;01***;*****
01258;01***;*****
01259;01***;*****
01260;01***;*****
01262;01***;*****
01263;01***;*****
01264;01***;*****
01266;01***;*****
01267;01***;*****
01270;01***;*****
01301;01***;*****
01302;01***;*****
01330;01***;*****
01331;01***;*****
01337;01***;*****
01338;01***;*****
01339;01***;*****
01340;01***;*****
01342;01***;*****
01343;01***;*****
01344;01***;*****
01346;01***;*****
01347;01***;*****
01349;01***;*****
01350;01***;*****
01351;01***;*****
01360;01***;*****
01364;01***;*****
01366;01***;*****
01367;01***;*****
01368;01***;*****
01369;01***;*****
01370;01***;*****
01373;01***;*****
01374;01***;*****
